# 250715_12:02:23.371949
t	CH1	CH2
0.000000e+00	-3.128019e-03	-2.749316e+00
1.000000e-08	-9.516167e-03	-2.754538e+00
2.000000e-08	-7.367138e-03	-2.791210e+00
3.000000e-08	-4.875849e-03	-2.817516e+00
4.000000e-08	-2.987642e-03	-2.854349e+00
5.000000e-08	-9.553978e-03	-2.864200e+00
6.000000e-08	-8.813470e-03	-2.880443e+00
7.000000e-08	-4.606646e-03	-2.897715e+00
8.000000e-08	-1.406115e-03	-2.906334e+00
9.000000e-08	-7.247827e-03	-2.929957e+00
1.000000e-07	-8.816548e-03	-2.939790e+00
1.100000e-07	-7.747340e-03	-2.960434e+00
1.200000e-07	-4.829507e-03	-2.993916e+00
1.300000e-07	-6.224039e-03	-2.998347e+00
1.400000e-07	-8.059442e-03	-3.034188e+00
1.500000e-07	-8.285604e-03	-3.028412e+00
1.600000e-07	-5.063727e-03	-3.049692e+00
1.700000e-07	-5.408360e-03	-3.069894e+00
1.800000e-07	-6.011635e-03	-3.082556e+00
1.900000e-07	-7.639721e-03	-3.128823e+00
2.000000e-07	-9.717330e-03	-3.137354e+00
2.100000e-07	-7.241350e-03	-3.150357e+00
2.200000e-07	-5.642214e-03	-3.179548e+00
2.300000e-07	-6.909458e-03	-3.200021e+00
2.400000e-07	-1.040085e-02	-3.208622e+00
2.500000e-07	-8.884684e-03	-3.213024e+00
2.600000e-07	-7.075727e-03	-3.233127e+00
2.700000e-07	-5.207039e-03	-3.245736e+00
2.800000e-07	-9.617763e-03	-3.254377e+00
2.900000e-07	-1.066409e-02	-3.271589e+00
3.000000e-07	-8.584276e-03	-3.284432e+00
3.100000e-07	-6.555508e-03	-3.300462e+00
3.200000e-07	-8.661905e-03	-3.309093e+00
3.300000e-07	-9.418918e-03	-3.329736e+00
3.400000e-07	-1.088915e-02	-3.330778e+00
3.500000e-07	-9.322879e-03	-3.351208e+00
3.600000e-07	-8.929129e-03	-3.347599e+00
3.700000e-07	-1.005588e-02	-3.348040e+00
3.800000e-07	-1.167302e-02	-3.364641e+00
3.900000e-07	-9.904578e-03	-3.380694e+00
4.000000e-07	-8.502569e-03	-3.388885e+00
4.100000e-07	-9.645867e-03	-3.405306e+00
4.200000e-07	-1.138070e-02	-3.394758e+00
4.300000e-07	-1.173524e-02	-3.431220e+00
4.400000e-07	-1.239609e-02	-3.432040e+00
4.500000e-07	-1.204372e-02	-3.452444e+00
4.600000e-07	-1.077489e-02	-3.481896e+00
4.700000e-07	-1.190785e-02	-3.478927e+00
4.800000e-07	-1.424121e-02	-3.498548e+00
4.900000e-07	-1.162937e-02	-3.514998e+00
5.000000e-07	-1.093581e-02	-3.520011e+00
5.100000e-07	-1.436033e-02	-3.532220e+00
5.200000e-07	-1.677918e-02	-3.524053e+00
5.300000e-07	-1.381524e-02	-3.528841e+00
5.400000e-07	-1.251503e-02	-3.541243e+00
5.500000e-07	-1.509500e-02	-3.552693e+00
5.600000e-07	-1.378290e-02	-3.529093e+00
5.700000e-07	-1.296956e-02	-3.553715e+00
5.800000e-07	-1.724583e-02	-3.553715e+00
5.900000e-07	-1.968361e-02	-3.561947e+00
6.000000e-07	-1.368765e-02	-3.574327e+00
6.100000e-07	-1.518497e-02	-3.586776e+00
6.200000e-07	-1.980510e-02	-3.591580e+00
6.300000e-07	-1.619070e-02	-3.592200e+00
6.400000e-07	-1.271357e-02	-3.599761e+00
6.500000e-07	-1.868831e-02	-3.604060e+00
6.600000e-07	-2.213823e-02	-3.592031e+00
6.700000e-07	-2.156673e-02	-3.604442e+00
6.800000e-07	-2.232795e-02	-3.616421e+00
6.900000e-07	-2.036021e-02	-3.620242e+00
7.000000e-07	-1.912265e-02	-3.613053e+00
7.100000e-07	-2.065941e-02	-3.620674e+00
7.200000e-07	-2.146807e-02	-3.617283e+00
7.300000e-07	-2.110239e-02	-3.624894e+00
7.400000e-07	-2.296021e-02	-3.628885e+00
7.500000e-07	-2.592438e-02	-3.621285e+00
7.600000e-07	-2.928737e-02	-3.634045e+00
7.700000e-07	-2.955987e-02	-3.633326e+00
7.800000e-07	-2.617079e-02	-3.629696e+00
7.900000e-07	-2.553869e-02	-3.649525e+00
8.000000e-07	-2.800921e-02	-3.637487e+00
8.100000e-07	-2.999753e-02	-3.637725e+00
8.200000e-07	-3.012016e-02	-3.637314e+00
8.300000e-07	-3.213175e-02	-3.642135e+00
8.400000e-07	-3.496744e-02	-3.641505e+00
8.500000e-07	-3.576970e-02	-3.637537e+00
8.600000e-07	-3.578011e-02	-3.630095e+00
8.700000e-07	-3.456282e-02	-3.641716e+00
8.800000e-07	-3.424125e-02	-3.633906e+00
8.900000e-07	-3.644345e-02	-3.629687e+00
9.000000e-07	-3.937083e-02	-3.625886e+00
9.100000e-07	-4.063692e-02	-3.637285e+00
9.200000e-07	-4.081288e-02	-3.625316e+00
9.300000e-07	-4.078077e-02	-3.637073e+00
9.400000e-07	-4.146847e-02	-3.616865e+00
9.500000e-07	-4.173802e-02	-3.628885e+00
9.600000e-07	-3.944157e-02	-3.617064e+00
9.700000e-07	-3.757991e-02	-3.608461e+00
9.800000e-07	-3.961408e-02	-3.612251e+00
9.900000e-07	-4.137509e-02	-3.600020e+00
1.000000e-06	-4.163864e-02	-3.603432e+00
1.010000e-06	-4.066546e-02	-3.595410e+00
1.020000e-06	-3.963145e-02	-3.595820e+00
1.030000e-06	-3.989500e-02	-3.584600e+00
1.040000e-06	-3.871679e-02	-3.594957e+00
1.050000e-06	-3.597655e-02	-3.578589e+00
1.060000e-06	-3.470963e-02	-3.574347e+00
1.070000e-06	-3.423452e-02	-3.557927e+00
1.080000e-06	-3.322559e-02	-3.561548e+00
1.090000e-06	-3.370905e-02	-3.561135e+00
1.100000e-06	-3.284586e-02	-3.557276e+00
1.110000e-06	-3.112415e-02	-3.536673e+00
1.120000e-06	-2.997754e-02	-3.536864e+00
